"","ID","aligncode","round1","target","condition","freq1","word","age","languages","partner"
"328",1300,"0","1","ferrocarril","LS",0,"tren",50,3,"out"
"329",1300,"0","1","cuberteria","LS",13,"cubiertos",50,3,"out"
"330",1300,"1","1","cabello","LS",7,"cabello",50,3,"out"
"331",1300,"0","1","birra","LS",7,"cerveza",50,3,"out"
"332",1300,"1","1","banana","LS",10,"banana",50,3,"out"
"333",1300,"1","1","barra de labios","LS",0,"barra de labios",50,3,"out"
"334",1300,"1","1","asno","LS",7,"asno",50,3,"out"
"335",1300,"0","1","alfombrilla","LS",17,"felpudo",50,3,"out"
"336",1300,"0","1","guardarropa","LS",0,"armario",50,3,"out"
"337",1303,"1","1","tripa","LS",7,"tripa",29,2,"out"
"338",1303,"0","1","sapo","LS",3,"rana",29,2,"out"
"339",1303,"1","1","ropa interior","LS",0,"ropa interior",29,2,"out"
"340",1303,"0","1","roedor","LS",0,"raton",29,2,"out"
"341",1303,"0","1","motocicleta","LS",0,"moto",29,2,"out"
"342",1303,"1","1","pintura","LS",0,"pintura",29,2,"out"
"343",1303,"0","1","lentes","LS",0,"gafas",29,2,"out"
"344",1303,"0","1","nino","LS",3,"bebe",29,2,"out"
"345",1303,"0","1","instrumento musical","LS",0,"acordeon",29,2,"out"
"346",1303,"1","1","guardarropa","LS",0,"guardarropa",29,2,"out"
"347",1303,"0","1","freson","LS",0,"fresa",29,2,"out"
"348",1303,"1","1","cuchillo","LS",20,"cuchillo",29,2,"out"
"349",1303,"0","1","ferrocarril","LS",0,"tren",29,2,"out"
"350",1303,"0","1","cuberteria","LS",13,"cubiertos",29,2,"out"
"351",1303,"1","1","cabello","LS",7,"cabello",29,2,"out"
"352",1303,"0","1","papa","LS",7,"patata",29,2,"out"
"353",1303,"1","1","banana","LS",10,"banana",29,2,"out"
"354",1303,"0","1","barra de labios","LS",0,"pintalabios",29,2,"out"
"355",1303,"1","1","asno","LS",7,"asno",29,2,"out"
"356",1303,"1","1","alfombrilla","LS",17,"alfombrilla",29,2,"out"
"357",1303,"0","1","birra","LS",7,"cerveza",29,2,"out"
"358",1304,"1","1","alfombrilla","LS",17,"alfombrilla",21,3,"out"
"359",1304,"0","1","papa","LS",7,"patata",21,3,"out"
"360",1304,"0","1","roedor","LS",0,"rat¢n",21,3,"out"
"361",1304,"1","1","motocicleta","LS",0,"motocicleta",21,3,"out"
"362",1304,"0","1","pintura","LS",0,"cuadro",21,3,"out"
"363",1304,"0","1","lentes","LS",0,"gafas",21,3,"out"
"364",1304,"0","1","nino","LS",3,"beb‚",21,3,"out"
"365",1304,"0","1","instrumento musical","LS",0,"acorde¢n",21,3,"out"
"366",1304,"0","1","guardarropa","LS",0,"armario",21,3,"out"
"367",1304,"1","1","cuchillo","LS",20,"cuchillo",21,3,"out"
"368",1304,"1","1","ferrocarril","LS",0,"ferrocarril",21,3,"out"
"369",1304,"0","1","cuberteria","LS",13,"cubiertos",21,3,"out"
"370",1304,"0","1","cabello","LS",7,"pelo",21,3,"out"
"371",1304,"0","1","birra","LS",7,"cerveza",21,3,"out"
"372",1304,"0","1","banana","LS",10,"pl tano",21,3,"out"
"373",1304,"0","1","barra de labios","LS",0,"pintalabios",21,3,"out"
"374",1304,"0","1","asno","LS",7,"burro",21,3,"out"
"375",1304,NA,"1","tripa","LS",7,"carretera",21,3,"out"
